Date,0,1,2,3,4,Total
08/03/2015,7,8,8,13,,36
08/04/2015,4,7,7,6,,24
08/05/2015,6,6,8,14,,34
08/06/2015,10,7,9,8,,34
08/07/2015,11,13,15,17,,56
08/08/2015,7,9,14,14,,44
08/09/2015,9,3,6,9,,27
08/10/2015,10,8,15,10,,43
08/11/2015,12,8,9,19,,48
08/12/2015,13,4,12,16,1,46
08/13/2015,10,12,13,6,,41
08/14/2015,11,8,10,14,2,45
08/15/2015,10,3,16,23,,52
08/16/2015,8,9,12,8,,37
08/17/2015,12,11,8,12,,43
08/18/2015,13,6,11,8,,38
08/19/2015,12,12,7,9,,40
08/20/2015,13,3,12,11,,39
08/21/2015,4,6,5,12,,27
08/22/2015,10,9,11,21,,51
08/23/2015,11,8,13,20,,52
08/24/2015,5,5,11,13,,34
08/25/2015,14,7,11,17,1,50
08/26/2015,13,5,8,6,,32
08/27/2015,13,6,7,9,,35
08/28/2015,8,6,13,11,,38
08/29/2015,12,5,15,14,,46
08/30/2015,9,6,13,12,,40
08/31/2015,9,7,9,12,,37
09/01/2015,6,8,10,7,,31
09/02/2015,14,11,11,10,,46
09/03/2015,10,12,17,20,1,60
09/04/2015,12,7,16,6,,41
09/05/2015,14,6,12,21,,53
09/06/2015,7,6,9,13,2,37
09/07/2015,10,7,12,11,,40
09/08/2015,11,11,14,12,,48
09/09/2015,8,6,11,10,,35
09/10/2015,8,10,15,10,,43
09/11/2015,16,14,11,14,,55
09/12/2015,8,6,13,18,,45
09/13/2015,16,9,12,15,,52
09/14/2015,9,5,7,7,,28
09/15/2015,7,8,7,9,1,32
09/16/2015,9,4,14,15,,42
09/17/2015,7,5,7,8,1,28
09/18/2015,10,4,11,13,1,39
09/19/2015,10,7,8,9,1,35
09/20/2015,11,7,11,11,,40
09/21/2015,10,6,12,14,,42
09/22/2015,11,4,10,7,,32
09/23/2015,9,5,12,12,,38
09/24/2015,11,5,10,12,,38
09/25/2015,8,7,14,14,,43
09/26/2015,11,13,9,18,,51
09/27/2015,13,8,8,18,,47
09/28/2015,15,6,11,13,,45
09/29/2015,7,18,10,13,,48
09/30/2015,13,12,13,8,,46
10/01/2015,13,8,12,12,,45
10/02/2015,10,11,13,10,,44
10/03/2015,13,6,6,16,,41
10/04/2015,15,8,5,15,,43
10/05/2015,13,8,17,9,,47
10/06/2015,13,9,14,11,,47
10/07/2015,13,6,10,12,,41
10/08/2015,12,10,17,8,,47
10/09/2015,10,5,16,21,,52
10/10/2015,14,6,10,16,,46
10/11/2015,9,7,7,14,,37
10/12/2015,4,9,7,12,,32
10/13/2015,7,7,10,12,,36
10/14/2015,12,9,12,11,1,45
10/15/2015,11,2,9,6,,28
10/16/2015,8,7,13,16,1,45
10/17/2015,14,4,12,16,,46
10/18/2015,21,8,12,12,,53
10/19/2015,16,7,11,7,,41
10/20/2015,9,7,15,13,,44
10/21/2015,5,9,8,11,,33
10/22/2015,12,4,14,19,,49
10/23/2015,17,5,15,15,2,54
10/24/2015,12,10,17,17,,56
10/25/2015,18,10,15,24,,67
10/26/2015,12,13,15,23,,63
10/27/2015,13,11,22,15,1,62
10/28/2015,12,9,13,11,1,46
10/29/2015,9,9,15,8,,41
10/30/2015,11,11,17,17,,56
10/31/2015,17,10,9,8,,44
11/01/2015,15,8,12,14,,49
11/02/2015,14,9,19,10,,52
11/03/2015,14,10,11,16,,51
11/04/2015,5,5,15,15,,40
11/05/2015,8,11,16,12,,47
11/06/2015,18,7,18,13,1,57
11/07/2015,16,8,10,26,,60
11/08/2015,13,8,18,17,,56
11/09/2015,7,7,17,12,,43
11/10/2015,9,3,14,14,,40
11/11/2015,18,5,11,15,,49
11/12/2015,9,11,8,21,1,50
11/13/2015,9,13,13,14,,49
11/14/2015,11,12,16,12,,51
11/15/2015,20,14,19,13,1,67
11/16/2015,13,8,15,13,,49
11/17/2015,8,8,17,14,,47
11/18/2015,16,8,13,20,1,58
11/19/2015,14,6,9,16,,45
11/20/2015,16,12,8,13,,49
11/21/2015,11,11,15,22,,59
11/22/2015,12,10,13,23,,58
11/23/2015,17,9,14,18,,58
11/24/2015,10,17,17,16,,60
11/25/2015,9,8,17,21,,55
11/26/2015,13,7,20,30,1,71
11/27/2015,13,14,6,15,,48
11/28/2015,20,9,11,23,,63
11/29/2015,15,6,25,12,1,59
11/30/2015,18,6,19,22,,65
12/01/2015,20,11,18,10,,59
12/02/2015,10,6,17,22,,55
12/03/2015,14,17,14,7,,52
12/04/2015,16,14,18,13,,61
12/05/2015,14,11,14,15,,54
12/06/2015,15,10,16,22,,63
12/07/2015,12,10,14,9,,45
12/08/2015,16,11,13,22,,62
12/09/2015,15,9,14,14,,52
12/10/2015,9,8,9,13,,39
12/11/2015,14,7,10,18,,49
12/12/2015,20,13,18,17,,68
12/13/2015,17,6,18,16,,57
12/14/2015,10,5,11,16,,42
12/15/2015,20,16,14,19,1,70
12/16/2015,10,13,14,17,,54
12/17/2015,11,11,10,20,1,53
