Date,Central,East,North,NorthEast,South,West,Total
07/29/2021,4,3,4,8,4,0,23
07/30/2021,13,2,5,7,5,4,36
07/31/2021,2,4,4,11,8,3,32
08/01/2021,9,9,3,10,3,0,34
08/02/2021,6,6,1,12,4,2,31
08/03/2021,16,4,2,12,7,0,41
08/04/2021,12,4,3,10,0,1,30
08/05/2021,8,6,5,13,4,1,37
08/06/2021,7,5,2,7,5,3,29
08/07/2021,10,4,3,12,8,1,38
08/08/2021,12,1,2,8,7,0,30
08/09/2021,6,5,1,17,5,0,34
08/10/2021,7,5,2,13,8,2,37
08/11/2021,15,7,4,16,5,1,48
08/12/2021,4,0,5,9,9,3,30
08/13/2021,11,3,3,9,3,1,30
08/14/2021,3,5,0,11,6,1,26
08/15/2021,8,5,3,4,3,1,24
08/16/2021,13,5,4,13,5,3,43
08/17/2021,12,2,3,13,4,0,34
08/18/2021,9,6,3,8,3,0,29
08/19/2021,13,5,2,11,7,0,38
08/20/2021,11,5,5,8,3,0,32
08/21/2021,10,3,7,6,5,0,31
08/22/2021,15,5,3,13,6,6,48
08/23/2021,11,1,6,11,2,4,35
08/24/2021,11,4,4,5,2,3,29
08/25/2021,12,3,5,9,2,0,31
08/26/2021,7,3,7,10,5,2,34
08/27/2021,7,3,4,5,8,3,30
08/28/2021,9,7,4,7,6,5,38
08/29/2021,8,7,5,16,4,1,41
08/30/2021,14,3,1,9,4,2,33
08/31/2021,10,5,6,5,5,0,31
09/01/2021,8,3,3,9,4,1,28
09/02/2021,9,3,3,7,4,1,27
09/03/2021,7,5,3,15,4,2,36
09/04/2021,10,6,8,13,3,4,44
09/05/2021,9,1,3,12,4,0,29
09/06/2021,15,4,5,8,3,1,36
09/07/2021,11,4,1,7,3,1,27
09/08/2021,11,3,1,4,1,1,21
09/09/2021,6,4,3,9,3,1,26
09/10/2021,7,5,2,14,8,1,37
09/11/2021,10,5,5,16,6,1,43
09/12/2021,16,7,1,7,4,4,39
09/13/2021,7,5,2,14,2,1,31
09/14/2021,8,3,4,8,3,1,27
09/15/2021,8,5,5,10,7,1,36
09/16/2021,8,4,4,8,7,0,31
09/17/2021,5,6,5,7,2,4,29
09/18/2021,11,3,2,15,3,2,36
09/19/2021,13,7,4,10,7,1,42
09/20/2021,7,4,2,10,5,2,30
09/21/2021,5,5,5,7,3,4,29
09/22/2021,4,5,3,4,7,2,25
09/23/2021,12,4,6,15,5,3,45
09/24/2021,11,11,3,5,1,2,33
09/25/2021,6,3,2,11,11,4,37
09/26/2021,14,3,4,14,2,0,37
09/27/2021,10,4,6,7,1,1,29
09/28/2021,14,6,4,4,8,1,37
09/29/2021,11,8,2,5,4,1,31
09/30/2021,9,4,9,9,3,2,36
10/01/2021,13,3,5,9,7,7,44
10/02/2021,9,5,4,11,8,0,37
10/03/2021,16,11,8,8,8,0,51
10/04/2021,10,5,5,25,3,2,50
10/05/2021,8,9,2,10,8,2,39
10/06/2021,13,5,4,12,8,2,44
10/07/2021,16,2,4,14,5,1,42
10/08/2021,14,1,6,14,4,3,42
10/09/2021,10,6,8,9,4,0,37
10/10/2021,12,3,3,4,5,1,28
10/11/2021,16,5,8,10,5,1,45
10/12/2021,13,1,4,11,6,2,37
10/13/2021,8,1,2,14,5,1,31
10/14/2021,4,2,2,5,2,3,18
10/15/2021,6,1,3,12,2,2,26
10/16/2021,8,5,3,14,3,3,36
10/17/2021,5,6,7,9,4,4,35
10/18/2021,13,1,5,12,4,1,36
10/19/2021,12,3,4,4,2,1,26
10/20/2021,8,1,4,2,8,4,27
10/21/2021,8,3,3,15,2,1,32
10/22/2021,12,2,3,6,1,1,25
10/23/2021,12,2,3,13,4,1,35
10/24/2021,10,2,4,10,1,0,27
10/25/2021,12,5,3,18,2,4,44
10/26/2021,10,2,2,14,4,0,32
10/27/2021,12,3,8,11,4,4,42
10/28/2021,13,5,2,14,4,2,40
10/29/2021,8,9,5,19,1,1,43
10/30/2021,8,7,0,16,5,1,37
10/31/2021,9,3,5,17,4,4,42
11/01/2021,11,4,3,18,5,1,42
11/02/2021,10,5,4,10,2,2,33
11/03/2021,8,3,0,15,6,2,34
11/04/2021,5,1,3,24,4,3,40
11/05/2021,14,4,4,27,8,0,57
11/06/2021,17,3,5,22,5,0,52
11/07/2021,10,2,3,19,4,2,40
11/08/2021,15,4,3,7,3,4,36
11/09/2021,15,4,2,15,5,0,41
11/10/2021,12,4,4,13,5,3,41
11/11/2021,18,6,7,16,5,1,53
11/12/2021,12,7,3,18,8,0,48
11/13/2021,9,6,4,16,3,1,39
11/14/2021,11,9,4,12,6,3,45
11/15/2021,13,7,3,17,3,0,43
11/16/2021,12,4,6,13,2,2,39
11/17/2021,11,6,2,16,4,1,40
11/18/2021,18,6,6,10,5,0,45
11/19/2021,12,3,11,21,1,1,49
11/20/2021,11,5,4,27,6,4,57
11/21/2021,11,4,7,17,5,2,46
11/22/2021,9,5,6,13,7,0,40
11/23/2021,15,2,6,14,2,5,44
11/24/2021,6,6,3,32,2,1,50
11/25/2021,10,6,1,18,8,0,43
11/26/2021,7,3,4,12,1,0,27
11/27/2021,18,8,9,15,6,1,57
11/28/2021,18,8,4,26,11,2,69
11/29/2021,20,4,2,28,4,4,62
11/30/2021,17,8,4,13,6,2,50
12/01/2021,13,9,1,12,3,0,38
12/02/2021,17,5,5,18,3,2,50
12/03/2021,14,2,8,13,7,2,46
12/04/2021,19,4,6,16,3,3,51
12/05/2021,9,12,4,12,4,0,41
12/06/2021,17,5,3,16,4,3,48
12/07/2021,7,10,4,16,5,1,43
12/08/2021,15,6,2,17,1,2,43
12/09/2021,15,4,3,20,6,4,52
12/10/2021,9,11,8,9,3,6,46
12/11/2021,15,8,9,12,3,0,47
12/12/2021,12,12,6,23,3,1,57
12/13/2021,21,8,3,13,7,1,53
12/14/2021,12,5,6,16,3,4,46
12/15/2021,14,9,2,19,4,3,51
12/16/2021,16,4,5,22,5,3,55
12/17/2021,20,3,5,12,6,6,52
12/18/2021,12,4,8,17,9,4,54
12/19/2021,18,10,3,12,1,5,49
12/20/2021,10,2,1,16,6,1,36
12/21/2021,11,3,3,11,4,2,34
12/22/2021,8,5,9,13,3,2,40
12/23/2021,15,3,3,18,4,1,44
12/24/2021,19,4,4,16,4,2,49
12/25/2021,15,5,9,17,6,3,55
12/26/2021,20,10,11,16,4,1,62
12/27/2021,8,8,3,14,5,4,42
12/28/2021,12,9,7,24,3,3,58
12/29/2021,14,4,7,16,2,5,48
12/30/2021,9,0,3,9,0,2,23
12/31/2021,6,0,0,10,2,1,19
01/01/2022,39,10,9,39,12,2,111
01/02/2022,16,4,8,22,5,3,58
01/03/2022,16,8,5,11,10,5,55
01/04/2022,20,1,6,10,9,5,51
01/05/2022,19,5,8,19,8,3,62
01/06/2022,13,5,1,13,8,2,42
01/07/2022,25,8,4,26,8,6,77
01/08/2022,15,7,7,19,6,3,57
01/09/2022,19,6,9,22,4,4,64
01/10/2022,19,3,4,16,9,3,54
01/11/2022,18,2,8,24,14,3,69
01/12/2022,18,5,4,22,5,1,55
01/13/2022,23,6,5,16,4,3,57
01/14/2022,16,5,5,16,11,7,60
01/15/2022,17,7,2,23,6,6,61
01/16/2022,13,6,6,25,4,1,55
01/17/2022,24,13,3,31,8,5,84
01/18/2022,31,6,4,25,13,3,82
01/19/2022,18,5,4,23,6,2,58
01/20/2022,21,9,4,20,11,3,68
01/21/2022,18,10,5,21,5,4,63
01/22/2022,16,11,10,16,7,4,64
01/23/2022,11,5,3,13,7,2,41
01/24/2022,23,8,4,21,4,3,63
01/25/2022,8,1,6,19,9,6,49
01/26/2022,15,0,0,18,6,2,41
01/27/2022,9,4,6,22,7,10,58
01/28/2022,11,6,8,15,6,3,49
01/29/2022,16,2,6,26,10,4,64
01/30/2022,15,4,9,21,6,2,57
01/31/2022,15,8,15,27,4,5,74
02/01/2022,23,12,3,21,8,4,71
02/02/2022,21,6,6,19,5,3,60
02/03/2022,26,13,7,23,9,4,82
02/04/2022,16,8,5,16,7,0,52
02/05/2022,16,3,5,12,8,2,46
02/06/2022,18,4,4,19,6,3,54
02/07/2022,13,8,6,8,12,0,47
02/08/2022,12,7,5,15,11,2,52
02/09/2022,16,3,6,21,8,2,56
02/10/2022,14,5,9,26,6,2,62
02/11/2022,14,3,11,16,8,2,54
02/12/2022,19,8,9,21,5,2,64
02/13/2022,11,3,10,21,7,1,53
02/14/2022,9,3,3,18,7,8,48
02/15/2022,21,9,7,18,7,7,69
02/16/2022,16,3,8,15,6,1,49
02/17/2022,10,4,4,15,5,4,42
02/18/2022,12,3,5,21,5,7,53
02/19/2022,19,7,8,14,5,0,53
02/20/2022,19,9,5,20,7,3,63
02/21/2022,12,5,4,7,11,3,42
02/22/2022,10,4,5,15,3,3,40
02/23/2022,19,3,5,18,6,4,55
02/24/2022,12,5,7,15,6,2,47
02/25/2022,14,4,7,16,3,4,48
02/26/2022,17,5,8,18,9,1,58
02/27/2022,21,8,3,14,4,6,56
02/28/2022,21,5,4,16,7,4,57
03/01/2022,21,6,8,17,5,6,63
03/02/2022,11,1,8,19,2,1,42
03/03/2022,7,5,10,17,10,1,50
03/04/2022,16,4,3,11,8,1,43
03/05/2022,19,8,6,21,5,4,63
03/06/2022,32,3,7,22,9,1,74
03/07/2022,9,7,9,27,9,4,65
03/08/2022,20,6,4,16,12,2,60
03/09/2022,15,9,8,19,1,6,58
03/10/2022,20,7,9,12,6,2,56
03/11/2022,14,7,6,17,10,3,57
03/12/2022,22,8,9,31,6,0,76
03/13/2022,16,3,8,19,3,2,51
03/14/2022,19,7,6,27,6,4,69
03/15/2022,18,4,4,19,7,4,56
03/16/2022,20,8,3,18,8,4,61
03/17/2022,18,4,1,17,6,2,48
03/18/2022,13,3,8,19,7,3,53
03/19/2022,16,9,1,15,7,4,52
03/20/2022,17,9,7,15,1,2,51
03/21/2022,24,2,5,21,5,2,59
03/22/2022,19,1,8,16,8,5,57
03/23/2022,13,5,12,13,10,1,54
03/24/2022,22,5,6,12,4,6,55
03/25/2022,13,6,6,12,4,1,42
03/26/2022,13,10,7,15,8,7,60
03/27/2022,22,8,3,21,2,4,60
03/28/2022,12,4,5,15,8,5,49
03/29/2022,13,2,4,15,11,3,48
03/30/2022,15,7,4,18,3,2,49
03/31/2022,17,4,7,10,6,6,50
04/01/2022,15,8,3,15,6,5,52
04/02/2022,22,6,5,21,6,2,62
04/03/2022,28,3,2,18,9,8,68
04/04/2022,22,5,6,21,6,2,62
04/05/2022,15,11,6,29,3,5,69
04/06/2022,13,11,6,15,1,1,47
04/07/2022,21,4,8,18,3,5,59
04/08/2022,21,10,4,23,4,4,66
04/09/2022,23,5,9,9,11,2,59
04/10/2022,14,3,5,26,4,4,56
04/11/2022,18,7,7,14,8,6,60
04/12/2022,23,8,6,26,8,4,75
04/13/2022,24,8,11,31,5,3,82
